Year,log pop,1990 dummy,2000 dummy,2010 dummy,Road Investment Ever (Treatment group),Treat groupXPost treatment ,,,,
1980,10.53241616,0,0,0,1,0, , ,,
1980,9.776846652,0,0,0,1,0,,,,
1980,11.42705162,0,0,0,1,0,,,,
1980,9.636653313,0,0,0,1,0,,,,
1980,10.9132322,0,0,0,1,0,,,, 
1980,10.79098779,0,0,0,1,0,,,,
1980,11.0495081,0,0,0,1,0,,,,
1980,10.59408148,0,0,0,1,0,,,,
1980,11.00642381,0,0,0,1,0,,,,
1980,11.46031551,0,0,0,1,0,,,,
1980,11.29587581,0,0,0,1,0,,,,
1980,11.25414178,0,0,0,1,0,,,,
1980,10.15642289,0,0,0,1,0,,,,
1980,9.960859832,0,0,0,1,0,,,,
1980,10.87388761,0,0,0,1,0,,,,
1980,9.530174967,0,0,0,1,0,,,,
1980,11.34255224,0,0,0,1,0,,,,
1980,10.56982864,0,0,0,1,0,,,,
1980,10.30758506,0,0,0,1,0,,,,
1980,9.405742668,0,0,0,1,0,,,,
1980,10.10989178,0,0,0,1,0,,,,
1980,11.11927528,0,0,0,1,0,,,,
1980,11.22199813,0,0,0,1,0,,,,
1980,10.2871841,0,0,0,1,0,,,,
1980,10.77147,0,0,0,1,0,,,,
1980,9.57401079,0,0,0,1,0,,,,
1980,8.927712174,0,0,0,1,0,,,,
1980,10.7358748,0,0,0,1,0,,,,
1980,11.30918005,0,0,0,1,0,,,,
1980,9.817166846,0,0,0,1,0,,,,
1980,11.20093704,0,0,0,1,0,,,,
1980,10.06036309,0,0,0,1,0,,,,
1980,10.212662,0,0,0,1,0,,,,
1980,6.974478911,0,0,0,1,0,,,,
1980,9.012620873,0,0,0,1,0,,,,
1980,10.81233062,0,0,0,1,0,,,,
1980,11.40613059,0,0,0,1,0,,,,
1980,11.41679995,0,0,0,1,0,,,,
1980,10.32301992,0,0,0,1,0,,,,
1980,10.64093866,0,0,0,1,0,,,,
1980,9.163982248,0,0,0,1,0,,,,
1980,11.18777687,0,0,0,1,0,,,,
1980,9.011157458,0,0,0,1,0,,,,
1980,11.37577611,0,0,0,1,0,,,,
1980,11.1926651,0,0,0,1,0,,,,
1980,11.30764639,0,0,0,1,0,,,,
1980,11.43674612,0,0,0,1,0,,,,
1980,10.47274245,0,0,0,1,0,,,,
1980,11.12865907,0,0,0,1,0,,,,
1980,10.39973746,0,0,0,1,0,,,,
1980,11.17791416,0,0,0,1,0,,,,
1980,10.79466558,0,0,0,1,0,,,,
1980,11.00854569,0,0,0,1,0,,,,
1980,11.41634848,0,0,0,1,0,,,,
1980,10.90226109,0,0,0,1,0,,,,
1980,9.698122523,0,0,0,1,0,,,,
1980,10.869292,0,0,0,1,0,,,,
1980,11.4109924,0,0,0,1,0,,,,
1980,9.052047793,0,0,0,1,0,,,,
1980,11.13214809,0,0,0,1,0,,,,
1980,9.169830829,0,0,0,1,0,,,,
1980,10.41466312,0,0,0,1,0,,,,
1980,11.31477936,0,0,0,1,0,,,,
1980,10.81289465,0,0,0,1,0,,,,
1980,10.84114831,0,0,0,1,0,,,,
1980,11.48223943,0,0,0,1,0,,,,
1980,8.44569719,0,0,0,1,0,,,,
1980,10.92529079,0,0,0,1,0,,,,
1980,11.20831423,0,0,0,1,0,,,,
1980,11.14203568,0,0,0,1,0,,,,
1980,10.86784438,0,0,0,1,0,,,,
1980,10.88153168,0,0,0,1,0,,,,
1980,10.66122794,0,0,0,1,0,,,,
1980,10.20207247,0,0,0,1,0,,,,
1980,8.822174761,0,0,0,1,0,,,,
1980,9.757015649,0,0,0,1,0,,,,
1980,11.0271176,0,0,0,1,0,,,,
1980,10.76214917,0,0,0,1,0,,,,
1980,10.82794485,0,0,0,1,0,,,,
1980,10.56149966,0,0,0,1,0,,,,
1980,11.29307648,0,0,0,1,0,,,,
1980,11.1813333,0,0,0,1,0,,,,
1980,9.667955074,0,0,0,1,0,,,,
1980,10.69776883,0,0,0,1,0,,,,
1980,9.920098818,0,0,0,1,0,,,,
1980,11.36796905,0,0,0,1,0,,,,
1980,11.13769369,0,0,0,1,0,,,,
1980,10.5302278,0,0,0,1,0,,,,
1980,10.58739215,0,0,0,1,0,,,,
1980,10.00608927,0,0,0,1,0,,,,
1980,10.98811923,0,0,0,1,0,,,,
1980,11.36197466,0,0,0,1,0,,,,
1980,10.2978243,0,0,0,1,0,,,,
1980,9.402777263,0,0,0,1,0,,,,
1980,10.28864791,0,0,0,1,0,,,,
1980,11.41971308,0,0,0,1,0,,,,
1980,9.16680637,0,0,0,1,0,,,,
1980,11.12069736,0,0,0,1,0,,,,
1980,10.89520111,0,0,0,1,0,,,,
1980,10.88986389,0,0,0,1,0,,,,
1980,11.29063155,0,0,0,1,0,,,,
1980,10.89284286,0,0,0,1,0,,,,
1980,8.803123731,0,0,0,1,0,,,,
1980,11.26068775,0,0,0,1,0,,,,
1980,11.41512519,0,0,0,1,0,,,,
1980,10.93741909,0,0,0,1,0,,,,
1980,11.06515288,0,0,0,1,0,,,,
1980,10.8144843,0,0,0,1,0,,,,
1980,10.08284639,0,0,0,1,0,,,,
1980,11.48598583,0,0,0,1,0,,,,
1980,11.49390573,0,0,0,1,0,,,,
1980,11.43621719,0,0,0,1,0,,,,
1980,11.30285854,0,0,0,1,0,,,,
1980,11.02658105,0,0,0,1,0,,,,
1980,10.55184655,0,0,0,1,0,,,,
1980,11.04852212,0,0,0,1,0,,,,
1980,10.45051009,0,0,0,1,0,,,,
1980,10.90996628,0,0,0,1,0,,,,
1980,10.25135886,0,0,0,1,0,,,,
1980,10.6027659,0,0,0,1,0,,,,
1980,11.11131293,0,0,0,1,0,,,,
1980,11.40090952,0,0,0,1,0,,,,
1980,10.83036208,0,0,0,1,0,,,,
1980,9.569063218,0,0,0,1,0,,,,
1980,10.66108731,0,0,0,1,0,,,,
1980,11.03884956,0,0,0,1,0,,,,
1980,11.30105563,0,0,0,1,0,,,,
1980,10.97515678,0,0,0,1,0,,,,
1980,11.3931279,0,0,0,1,0,,,,
1980,11.42370073,0,0,0,1,0,,,,
1980,11.26561729,0,0,0,1,0,,,,
1980,10.96916334,0,0,0,1,0,,,,
1980,8.341648619,0,0,0,1,0,,,,
1980,11.29639748,0,0,0,1,0,,,,
1980,11.50104517,0,0,0,1,0,,,,
1980,10.89442183,0,0,0,1,0,,,,
1980,11.326885,0,0,0,1,0,,,,
